Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
 193) weights_run3_714442.pb.gz 2494 :   6000 (+2744,=227,-3029),  47.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  869,  53, 1078),  44.8 :    -45,    5,    0.0
      weights_run3_714441.pb.gz       :   2000 (  921,  99,  980),  48.5 :    -13,    5,    0.6
      weights_run3_714443.pb.gz       :   2000 (  954,  75,  971),  49.6 :     +7,    5,   91.4

 194) weights_run3_714638.pb.gz 2494 :   6000 (+2799,=171,-3030),  48.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  827,  28, 1145),  42.0 :    -45,    5,    0.0
      weights_run3_714639.pb.gz       :   2000 (  961,  80,  959),  50.0 :     -3,    6,   33.7
      weights_run3_714637.pb.gz       :   2000 ( 1011,  63,  926),  52.1 :     +7,    6,   87.0

 195) weights_run3_714379.pb.gz 2494 :   6000 (+2689,=245,-3066),  46.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  794,  53, 1153),  41.0 :    -45,    5,    0.0
      weights_run3_714378.pb.gz       :   2000 (  964,  82,  954),  50.3 :    -19,    6,    0.1
      weights_run3_714380.pb.gz       :   2000 (  931, 110,  959),  49.3 :     -2,    5,   33.3

 196) weights_run3_714411.pb.gz 2494 :   6000 (+2719,=292,-2989),  47.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  822,  39, 1139),  42.1 :    -45,    5,    0.0
      weights_run3_714412.pb.gz       :   2000 (  888, 122,  990),  47.5 :     -8,    5,    8.2
      weights_run3_714410.pb.gz       :   2000 ( 1009, 131,  860),  53.7 :     +5,    6,   79.4

 197) weights_run3_714424.pb.gz 2493 :   6000 (+2854,=200,-2946),  49.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  857,  26, 1117),  43.5 :    -46,    6,    0.0
      weights_run3_714425.pb.gz       :   2000 (  979,  89,  932),  51.2 :     +9,    6,   93.4
      weights_run3_714423.pb.gz       :   2000 ( 1018,  85,  897),  53.0 :    +20,    6,  100.0

 198) weights_run3_714654.pb.gz 2493 :   6000 (+2660,=272,-3068),  46.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  850,  46, 1104),  43.6 :    -46,    5,    0.0
      weights_run3_714655.pb.gz       :   2000 (  895, 108,  997),  47.5 :    -13,    5,    0.6
      weights_run3_714653.pb.gz       :   2000 (  915, 118,  967),  48.7 :    -13,    6,    1.3

 199) weights_run3_714436.pb.gz 2493 :   6000 (+2809,=223,-2968),  48.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  859,  51, 1090),  44.2 :    -46,    5,    0.0
      weights_run3_714437.pb.gz       :   2000 (  968,  94,  938),  50.8 :     +6,    5,   84.8
      weights_run3_714435.pb.gz       :   2000 (  982,  78,  940),  51.0 :    +12,    5,   98.8

 200) weights_run3_714415.pb.gz 2493 :   6000 (+2716,=178,-3106),  46.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  849,  42, 1109),  43.5 :    -46,    5,    0.0
      weights_run3_714414.pb.gz       :   2000 (  897,  73, 1030),  46.7 :    -26,    6,    0.0
      weights_run3_714416.pb.gz       :   2000 (  970,  63,  967),  50.1 :     +3,    5,   69.4

 201) weights_run3_714531.pb.gz 2493 :   6000 (+2767,=237,-2996),  48.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  864,  36, 1100),  44.1 :    -46,    5,    0.0
      weights_run3_714532.pb.gz       :   2000 (  952,  96,  952),  50.0 :     +1,    5,   56.7
      weights_run3_714530.pb.gz       :   2000 (  951, 105,  944),  50.2 :     +5,    5,   80.0

 202) weights_run3_714619.pb.gz 2493 :   6000 (+2733,=202,-3065),  47.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  885,  35, 1080),  45.1 :    -46,    6,    0.0
      weights_run3_714618.pb.gz       :   2000 (  921,  79, 1000),  48.0 :     -7,    6,   12.1
      weights_run3_714620.pb.gz       :   2000 (  927,  88,  985),  48.5 :     -5,    6,   20.1

 203) weights_run3_714603.pb.gz 2493 :   6000 (+2749,=205,-3046),  47.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  902,  49, 1049),  46.3 :    -46,    4,    0.0
      weights_run3_714602.pb.gz       :   2000 (  926,  75,  999),  48.2 :     -5,    6,   19.7
      weights_run3_714604.pb.gz       :   2000 (  921,  81,  998),  48.1 :     -2,    5,   37.6

 204) weights_run3_714591.pb.gz 2492 :   6000 (+2727,=201,-3072),  47.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  844,  54, 1102),  43.5 :    -47,    6,    0.0
      weights_run3_714590.pb.gz       :   2000 (  945,  83,  972),  49.3 :    -10,    6,    4.5
      weights_run3_714592.pb.gz       :   2000 (  938,  64,  998),  48.5 :     -4,    5,   21.0

 205) weights_run3_714532.pb.gz 2492 :   6000 (+2755,=221,-3024),  47.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  847,  33, 1120),  43.2 :    -47,    6,    0.0
      weights_run3_714531.pb.gz       :   2000 (  952,  96,  952),  50.0 :     -1,    5,   43.3
      weights_run3_714533.pb.gz       :   2000 (  956,  92,  952),  50.1 :     +0,    6,   51.3

 206) weights_run3_714686.pb.gz 2492 :   6000 (+2716,=232,-3052),  47.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  814,  40, 1146),  41.7 :    -47,    5,    0.0
      weights_run3_714687.pb.gz       :   2000 (  940,  89,  971),  49.2 :    -10,    6,    4.2
      weights_run3_714685.pb.gz       :   2000 (  962, 103,  935),  50.7 :     -3,    5,   30.8

 207) weights_run3_714481.pb.gz 2492 :   6000 (+2710,=209,-3081),  46.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  871,  52, 1077),  44.9 :    -47,    5,    0.0
      weights_run3_714482.pb.gz       :   2000 (  915,  82, 1003),  47.8 :    -11,    5,    1.8
      weights_run3_714480.pb.gz       :   2000 (  924,  75, 1001),  48.1 :     -7,    5,    8.2

 208) weights_run3_714533.pb.gz 2492 :   6000 (+2737,=210,-3053),  47.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  840,  51, 1109),  43.3 :    -47,    5,    0.0
      weights_run3_714534.pb.gz       :   2000 (  945,  67,  988),  48.9 :     -9,    5,    5.8
      weights_run3_714532.pb.gz       :   2000 (  952,  92,  956),  49.9 :     -0,    6,   48.7

 209) weights_run3_714449.pb.gz 2492 :   6000 (+2652,=262,-3086),  46.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  895,  42, 1063),  45.8 :    -47,    5,    0.0
      weights_run3_714450.pb.gz       :   2000 (  923, 121,  956),  49.2 :    -17,    5,    0.1
      weights_run3_714448.pb.gz       :   2000 (  834,  99, 1067),  44.2 :    -12,    5,    1.1

 210) weights_run3_714407.pb.gz 2492 :   6000 (+2735,=226,-3039),  47.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  861,  45, 1094),  44.2 :    -47,    5,    0.0
      weights_run3_714408.pb.gz       :   2000 (  945, 101,  954),  49.8 :     -7,    6,   13.1
      weights_run3_714406.pb.gz       :   2000 (  929,  80,  991),  48.5 :     +0,    6,   51.0

 211) weights_run3_714607.pb.gz 2492 :   6000 (+2720,=213,-3067),  47.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  837,  45, 1118),  43.0 :    -47,    5,    0.0
      weights_run3_714608.pb.gz       :   2000 (  915,  85, 1000),  47.9 :     -9,    6,    7.3
      weights_run3_714606.pb.gz       :   2000 (  968,  83,  949),  50.5 :     -5,    6,   18.6

 212) weights_run3_714671.pb.gz 2492 :   6000 (+2768,=191,-3041),  47.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  830,  37, 1133),  42.4 :    -47,    5,    0.0
      weights_run3_714672.pb.gz       :   2000 (  964,  85,  951),  50.3 :     -4,    6,   24.8
      weights_run3_714670.pb.gz       :   2000 (  974,  69,  957),  50.4 :     +3,    5,   73.4

 213) weights_run3_714406.pb.gz 2492 :   6000 (+2773,=253,-2974),  48.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  803,  76, 1121),  42.0 :    -47,    5,    0.0
      weights_run3_714407.pb.gz       :   2000 (  991,  80,  929),  51.5 :     -0,    6,   49.0
      weights_run3_714405.pb.gz       :   2000 (  979,  97,  924),  51.4 :    +12,    5,   98.8

 214) weights_run3_714643.pb.gz 2491 :   6000 (+2800,=199,-3001),  48.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  830,  55, 1115),  42.9 :    -48,    5,    0.0
      weights_run3_714644.pb.gz       :   2000 (  980,  79,  941),  51.0 :     +6,    6,   84.0
      weights_run3_714642.pb.gz       :   2000 (  990,  65,  945),  51.1 :     +6,    6,   86.1

 215) weights_run3_714398.pb.gz 2491 :   6000 (+2766,=182,-3052),  47.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  779,  43, 1178),  40.0 :    -48,    5,    0.0
      weights_run3_714399.pb.gz       :   2000 (  965,  72,  963),  50.0 :     -6,    6,   15.1
      weights_run3_714397.pb.gz       :   2000 ( 1022,  67,  911),  52.8 :     +4,    6,   73.3

 216) weights_run3_714668.pb.gz 2491 :   6000 (+2728,=243,-3029),  47.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  833,  51, 1116),  42.9 :    -48,    5,    0.0
      weights_run3_714667.pb.gz       :   2000 (  902, 100,  998),  47.6 :     -7,    5,   11.2
      weights_run3_714669.pb.gz       :   2000 (  993,  92,  915),  52.0 :     +2,    6,   61.1

 217) weights_run3_714360.pb.gz 2491 :   6000 (+2779,=236,-2985),  48.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  836,  38, 1126),  42.8 :    -48,    6,    0.0
      weights_run3_714359.pb.gz       :   2000 (  955,  92,  953),  50.0 :     +0,    6,   51.0
      weights_run3_714361.pb.gz       :   2000 (  988, 106,  906),  52.0 :    +12,    6,   97.9

 218) weights_run3_714546.pb.gz 2491 :   6000 (+2703,=239,-3058),  47.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  838,  42, 1120),  43.0 :    -48,    5,    0.0
      weights_run3_714545.pb.gz       :   2000 (  922, 105,  973),  48.7 :     -8,    6,   10.1
      weights_run3_714547.pb.gz       :   2000 (  943,  92,  965),  49.5 :     -7,    6,   13.3

 219) weights_run3_714359.pb.gz 2491 :   6000 (+2761,=233,-3006),  48.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  858,  30, 1112),  43.6 :    -48,    5,    0.0
      weights_run3_714360.pb.gz       :   2000 (  953,  92,  955),  50.0 :     -0,    6,   49.0
      weights_run3_714358.pb.gz       :   2000 (  950, 111,  939),  50.3 :     +5,    6,   81.3

 220) weights_run3_714471.pb.gz 2490 :   6000 (+2761,=238,-3001),  48.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  862,  45, 1093),  44.2 :    -48,    5,    0.0
      weights_run3_714470.pb.gz       :   2000 (  919, 108,  973),  48.6 :     +0,    6,   53.3
      weights_run3_714472.pb.gz       :   2000 (  980,  85,  935),  51.1 :     +6,    6,   82.1

 221) weights_run3_714416.pb.gz 2490 :   6000 (+2773,=221,-3006),  48.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  838,  53, 1109),  43.2 :    -48,    5,    0.0
      weights_run3_714415.pb.gz       :   2000 (  967,  63,  970),  49.9 :     -3,    5,   30.6
      weights_run3_714417.pb.gz       :   2000 (  968, 105,  927),  51.0 :    +10,    6,   94.8

 222) weights_run3_714538.pb.gz 2490 :   6000 (+2760,=187,-3053),  47.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  839,  29, 1132),  42.7 :    -49,    5,    0.0
      weights_run3_714537.pb.gz       :   2000 (  948,  84,  968),  49.5 :     -5,    6,   19.0
      weights_run3_714539.pb.gz       :   2000 (  973,  74,  953),  50.5 :     +2,    6,   65.0

 223) weights_run3_714495.pb.gz 2490 :   6000 (+2676,=266,-3058),  46.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  827,  32, 1141),  42.1 :    -49,    5,    0.0
      weights_run3_714494.pb.gz       :   2000 (  927, 132,  941),  49.6 :    -10,    6,    4.2
      weights_run3_714496.pb.gz       :   2000 (  922, 102,  976),  48.6 :     -9,    5,    5.2

 224) weights_run3_714666.pb.gz 2490 :   6000 (+2765,=220,-3015),  47.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  838,  46, 1116),  43.0 :    -49,    4,    0.0
      weights_run3_714667.pb.gz       :   2000 (  935,  84,  981),  48.9 :     -7,    5,    7.7
      weights_run3_714665.pb.gz       :   2000 (  992,  90,  918),  51.9 :    +12,    6,   97.6

 225) weights_run3_714673.pb.gz 2490 :   6000 (+2694,=224,-3082),  46.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  872,  39, 1089),  44.6 :    -49,    5,    0.0
      weights_run3_714674.pb.gz       :   2000 (  910, 116,  974),  48.4 :    -14,    5,    0.6
      weights_run3_714672.pb.gz       :   2000 (  912,  69, 1019),  47.3 :     -6,    6,   15.5

 226) weights_run3_714451.pb.gz 2490 :   6000 (+2610,=278,-3112),  45.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  853,  35, 1112),  43.5 :    -49,    5,    0.0
      weights_run3_714452.pb.gz       :   2000 (  909, 102,  989),  48.0 :    -20,    6,    0.0
      weights_run3_714450.pb.gz       :   2000 (  848, 141, 1011),  45.9 :    -19,    6,    0.1

 227) weights_run3_714470.pb.gz 2490 :   6000 (+2742,=290,-2968),  48.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  809,  45, 1146),  41.6 :    -49,    5,    0.0
      weights_run3_714471.pb.gz       :   2000 (  973, 108,  919),  51.4 :     -0,    6,   46.7
      weights_run3_714469.pb.gz       :   2000 (  960, 137,  903),  51.4 :    +10,    6,   94.1

 228) weights_run3_714476.pb.gz 2490 :   6000 (+2780,=255,-2965),  48.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  815,  61, 1124),  42.3 :    -49,    5,    0.0
      weights_run3_714475.pb.gz       :   2000 (  949,  95,  956),  49.8 :     +4,    5,   76.3
      weights_run3_714477.pb.gz       :   2000 ( 1016,  99,  885),  53.3 :    +13,    6,   98.6

 229) weights_run3_714484.pb.gz 2489 :   6000 (+2836,=192,-2972),  48.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  876,  44, 1080),  44.9 :    -50,    5,    0.0
      weights_run3_714483.pb.gz       :   2000 (  956,  75,  969),  49.7 :     +8,    5,   93.5
      weights_run3_714485.pb.gz       :   2000 ( 1004,  73,  923),  52.0 :    +18,    6,   99.8

 230) weights_run3_714456.pb.gz 2489 :   6000 (+2715,=250,-3035),  47.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  848,  32, 1120),  43.2 :    -50,    6,    0.0
      weights_run3_714455.pb.gz       :   2000 (  943,  99,  958),  49.6 :    -11,    5,    2.2
