Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
      weights_run3_714672.pb.gz       :      2000 (    1121,     37,     842),  57.0 :    +43,    5,  100.0
      weights_run3_714502.pb.gz       :      2000 (    1114,     27,     859),  56.4 :    +43,    5,  100.0
      weights_run3_714537.pb.gz       :      2000 (    1093,     36,     871),  55.5 :    +43,    6,  100.0
      weights_run3_714388.pb.gz       :      2000 (    1110,     38,     852),  56.5 :    +43,    5,  100.0
      weights_run3_714645.pb.gz       :      2000 (    1095,     33,     872),  55.6 :    +43,    6,  100.0
      weights_run3_714681.pb.gz       :      2000 (    1103,     34,     863),  56.0 :    +44,    6,  100.0
      weights_run3_714626.pb.gz       :      2000 (    1077,     39,     884),  54.8 :    +44,    5,  100.0
      weights_run3_714438.pb.gz       :      2000 (    1117,     60,     823),  57.4 :    +44,    5,  100.0
      weights_run3_714685.pb.gz       :      2000 (    1100,     26,     874),  55.6 :    +44,    5,  100.0
      weights_run3_714467.pb.gz       :      2000 (    1135,     25,     840),  57.4 :    +44,    5,  100.0
      weights_run3_714597.pb.gz       :      2000 (    1035,     36,     929),  52.6 :    +44,    6,  100.0
      weights_run3_714504.pb.gz       :      2000 (    1111,     44,     845),  56.6 :    +44,    6,  100.0
      weights_run3_714604.pb.gz       :      2000 (    1173,     30,     797),  59.4 :    +45,    5,  100.0
      weights_run3_714440.pb.gz       :      2000 (    1112,     48,     840),  56.8 :    +45,    5,  100.0
      weights_run3_714442.pb.gz       :      2000 (    1078,     53,     869),  55.2 :    +45,    5,  100.0
      weights_run3_714638.pb.gz       :      2000 (    1145,     28,     827),  58.0 :    +45,    5,  100.0
      weights_run3_714379.pb.gz       :      2000 (    1153,     53,     794),  59.0 :    +45,    5,  100.0
      weights_run3_714411.pb.gz       :      2000 (    1139,     39,     822),  57.9 :    +45,    5,  100.0
      weights_run3_714424.pb.gz       :      2000 (    1117,     26,     857),  56.5 :    +46,    6,  100.0
      weights_run3_714654.pb.gz       :      2000 (    1104,     46,     850),  56.4 :    +46,    5,  100.0
      weights_run3_714436.pb.gz       :      2000 (    1090,     51,     859),  55.8 :    +46,    5,  100.0
      weights_run3_714415.pb.gz       :      2000 (    1109,     42,     849),  56.5 :    +46,    5,  100.0
      weights_run3_714531.pb.gz       :      2000 (    1100,     36,     864),  55.9 :    +46,    5,  100.0
      weights_run3_714619.pb.gz       :      2000 (    1080,     35,     885),  54.9 :    +46,    6,  100.0
      weights_run3_714603.pb.gz       :      2000 (    1049,     49,     902),  53.7 :    +46,    4,  100.0
      weights_run3_714591.pb.gz       :      2000 (    1102,     54,     844),  56.5 :    +47,    6,  100.0
      weights_run3_714532.pb.gz       :      2000 (    1120,     33,     847),  56.8 :    +47,    6,  100.0
      weights_run3_714686.pb.gz       :      2000 (    1146,     40,     814),  58.3 :    +47,    5,  100.0
      weights_run3_714481.pb.gz       :      2000 (    1077,     52,     871),  55.1 :    +47,    5,  100.0
      weights_run3_714533.pb.gz       :      2000 (    1109,     51,     840),  56.7 :    +47,    5,  100.0
      weights_run3_714449.pb.gz       :      2000 (    1063,     42,     895),  54.2 :    +47,    5,  100.0
      weights_run3_714407.pb.gz       :      2000 (    1094,     45,     861),  55.8 :    +47,    5,  100.0
      weights_run3_714607.pb.gz       :      2000 (    1118,     45,     837),  57.0 :    +47,    5,  100.0
      weights_run3_714671.pb.gz       :      2000 (    1133,     37,     830),  57.6 :    +47,    5,  100.0
      weights_run3_714406.pb.gz       :      2000 (    1121,     76,     803),  58.0 :    +47,    5,  100.0
      weights_run3_714643.pb.gz       :      2000 (    1115,     55,     830),  57.1 :    +48,    5,  100.0
      weights_run3_714398.pb.gz       :      2000 (    1178,     43,     779),  60.0 :    +48,    5,  100.0
      weights_run3_714668.pb.gz       :      2000 (    1116,     51,     833),  57.1 :    +48,    5,  100.0
      weights_run3_714360.pb.gz       :      2000 (    1126,     38,     836),  57.3 :    +48,    6,  100.0
      weights_run3_714546.pb.gz       :      2000 (    1120,     42,     838),  57.0 :    +48,    5,  100.0
      weights_run3_714359.pb.gz       :      2000 (    1112,     30,     858),  56.4 :    +48,    5,  100.0
      weights_run3_714471.pb.gz       :      2000 (    1093,     45,     862),  55.8 :    +48,    5,  100.0
      weights_run3_714416.pb.gz       :      2000 (    1109,     53,     838),  56.8 :    +48,    5,  100.0
      weights_run3_714538.pb.gz       :      2000 (    1132,     29,     839),  57.3 :    +49,    5,  100.0
      weights_run3_714495.pb.gz       :      2000 (    1141,     32,     827),  57.9 :    +49,    5,  100.0
      weights_run3_714666.pb.gz       :      2000 (    1116,     46,     838),  57.0 :    +49,    4,  100.0
      weights_run3_714673.pb.gz       :      2000 (    1089,     39,     872),  55.4 :    +49,    5,  100.0
      weights_run3_714451.pb.gz       :      2000 (    1112,     35,     853),  56.5 :    +49,    5,  100.0
      weights_run3_714470.pb.gz       :      2000 (    1146,     45,     809),  58.4 :    +49,    5,  100.0
      weights_run3_714476.pb.gz       :      2000 (    1124,     61,     815),  57.7 :    +49,    5,  100.0
      weights_run3_714484.pb.gz       :      2000 (    1080,     44,     876),  55.1 :    +50,    5,  100.0
      weights_run3_714456.pb.gz       :      2000 (    1120,     32,     848),  56.8 :    +50,    6,  100.0
      weights_run3_714445.pb.gz       :      2000 (    1120,     90,     790),  58.3 :    +50,    5,  100.0
      weights_run3_714669.pb.gz       :      2000 (    1069,     39,     892),  54.4 :    +50,    5,  100.0
      weights_run3_714461.pb.gz       :      2000 (    1105,     72,     823),  57.0 :    +50,    5,  100.0
      weights_run3_714410.pb.gz       :      2000 (    1081,     44,     875),  55.1 :    +50,    5,  100.0
      weights_run3_714664.pb.gz       :      2000 (    1145,     34,     821),  58.1 :    +50,    6,  100.0
      weights_run3_714529.pb.gz       :      2000 (    1151,     46,     803),  58.7 :    +50,    5,  100.0
      weights_run3_714474.pb.gz       :      2000 (    1110,     69,     821),  57.2 :    +50,    6,  100.0
      weights_run3_714535.pb.gz       :      2000 (    1120,     33,     847),  56.8 :    +50,    5,  100.0
      weights_run3_714530.pb.gz       :      2000 (    1115,     36,     849),  56.6 :    +50,    5,  100.0
      weights_run3_714468.pb.gz       :      2000 (    1127,     45,     828),  57.5 :    +51,    5,  100.0
      weights_run3_714670.pb.gz       :      2000 (    1144,     37,     819),  58.1 :    +51,    5,  100.0
      weights_run3_714610.pb.gz       :      2000 (    1103,     51,     846),  56.4 :    +51,    5,  100.0
      weights_run3_714539.pb.gz       :      2000 (    1117,     29,     854),  56.6 :    +51,    5,  100.0
      weights_run3_714478.pb.gz       :      2000 (    1125,     44,     831),  57.4 :    +51,    5,  100.0
      weights_run3_714612.pb.gz       :      2000 (    1151,     86,     763),  59.7 :    +51,    5,  100.0
      weights_run3_714426.pb.gz       :      2000 (    1113,     51,     836),  56.9 :    +51,    5,  100.0
      weights_run3_714613.pb.gz       :      2000 (    1121,     77,     802),  58.0 :    +51,    5,  100.0
      weights_run3_714439.pb.gz       :      2000 (    1071,     88,     841),  55.8 :    +51,    4,  100.0
      weights_run3_714387.pb.gz       :      2000 (    1063,     34,     903),  54.0 :    +51,    5,  100.0
      weights_run3_714437.pb.gz       :      2000 (    1126,     35,     839),  57.2 :    +51,    5,  100.0
      weights_run3_714528.pb.gz       :      2000 (    1123,     38,     839),  57.1 :    +51,    5,  100.0
      weights_run3_714409.pb.gz       :      2000 (    1089,     43,     868),  55.5 :    +52,    5,  100.0
      weights_run3_714397.pb.gz       :      2000 (    1092,     34,     874),  55.5 :    +52,    5,  100.0
      weights_run3_714421.pb.gz       :      2000 (    1103,     34,     863),  56.0 :    +52,    5,  100.0
      weights_run3_714637.pb.gz       :      2000 (    1134,     50,     816),  58.0 :    +52,    6,  100.0
      weights_run3_714396.pb.gz       :      2000 (    1119,     49,     832),  57.2 :    +52,    5,  100.0
      weights_run3_714443.pb.gz       :      2000 (    1142,     50,     808),  58.4 :    +52,    5,  100.0
      weights_run3_714383.pb.gz       :      2000 (    1125,     44,     831),  57.4 :    +52,    5,  100.0
      weights_run3_714540.pb.gz       :      2000 (    1138,     35,     827),  57.8 :    +52,    5,  100.0
      weights_run3_714375.pb.gz       :      2000 (    1120,     66,     814),  57.6 :    +53,    5,  100.0
      weights_run3_714662.pb.gz       :      2000 (    1143,     48,     809),  58.4 :    +53,    6,  100.0
      weights_run3_714434.pb.gz       :      2000 (    1125,     51,     824),  57.5 :    +53,    5,  100.0
      weights_run3_714489.pb.gz       :      2000 (    1156,     27,     817),  58.5 :    +53,    5,  100.0
      weights_run3_714475.pb.gz       :      2000 (    1137,     43,     820),  57.9 :    +53,    5,  100.0
      weights_run3_714644.pb.gz       :      2000 (    1136,     31,     833),  57.6 :    +53,    5,  100.0
      weights_run3_714595.pb.gz       :      2000 (    1169,     36,     795),  59.4 :    +53,    5,  100.0
      weights_run3_714381.pb.gz       :      2000 (    1129,     33,     838),  57.3 :    +53,    5,  100.0
      weights_run3_714362.pb.gz       :      2000 (    1150,     26,     824),  58.1 :    +53,    5,  100.0
      weights_run3_714358.pb.gz       :      2000 (    1138,     38,     824),  57.9 :    +53,    5,  100.0
